,Codes,Names
340,E01001900,Hammersmith and Fulham 013E
341,E01001889,Hammersmith and Fulham 014A
342,E01001910,Hammersmith and Fulham 014B
343,E01001913,Hammersmith and Fulham 014C
344,E01001914,Hammersmith and Fulham 014D
345,E01001885,Hammersmith and Fulham 015A
346,E01001908,Hammersmith and Fulham 015B
347,E01001909,Hammersmith and Fulham 015C
348,E01001911,Hammersmith and Fulham 015D
349,E01001912,Hammersmith and Fulham 015E
350,E01001886,Hammersmith and Fulham 016A
351,E01001887,Hammersmith and Fulham 016B
352,E01001890,Hammersmith and Fulham 016C
353,E01001892,Hammersmith and Fulham 016D
354,E01001880,Hammersmith and Fulham 017A
355,E01001881,Hammersmith and Fulham 017B
356,E01001882,Hammersmith and Fulham 017C
357,E01001883,Hammersmith and Fulham 017D
358,E01001884,Hammersmith and Fulham 017E
359,E01001888,Hammersmith and Fulham 018A
360,E01001891,Hammersmith and Fulham 018B
361,E01001917,Hammersmith and Fulham 018C
362,E01001918,Hammersmith and Fulham 018D
363,E01001919,Hammersmith and Fulham 018E
364,E01001879,Hammersmith and Fulham 019A
365,E01001901,Hammersmith and Fulham 019B
366,E01001902,Hammersmith and Fulham 019C
367,E01001903,Hammersmith and Fulham 019D
368,E01001920,Hammersmith and Fulham 020A
369,E01001921,Hammersmith and Fulham 020B
370,E01001922,Hammersmith and Fulham 020C
371,E01001923,Hammersmith and Fulham 020D
372,E01001924,Hammersmith and Fulham 020E
373,E01001947,Hammersmith and Fulham 021A
374,E01001948,Hammersmith and Fulham 021B
375,E01001949,Hammersmith and Fulham 021C
376,E01001950,Hammersmith and Fulham 021D
377,E01001951,Hammersmith and Fulham 021E
378,E01001953,Hammersmith and Fulham 021F
379,E01001904,Hammersmith and Fulham 022A
380,E01001905,Hammersmith and Fulham 022B
381,E01001906,Hammersmith and Fulham 022C
382,E01001907,Hammersmith and Fulham 022D
383,E01001935,Hammersmith and Fulham 023A
384,E01001939,Hammersmith and Fulham 023C
385,E01032788,Hammersmith and Fulham 023D
386,E01032789,Hammersmith and Fulham 023E
387,E01032790,Hammersmith and Fulham 023F
388,E01001915,Hammersmith and Fulham 024A
389,E01001916,Hammersmith and Fulham 024B
390,E01001926,Hammersmith and Fulham 024C
391,E01001952,Hammersmith and Fulham 024D
392,E01001925,Hammersmith and Fulham 025A
393,E01001934,Hammersmith and Fulham 025B
394,E01001937,Hammersmith and Fulham 025C
395,E01001938,Hammersmith and Fulham 025D
396,E01001969,Haringey 001A
397,E01001971,Haringey 001B
398,E01001974,Haringey 001C
399,E01001975,Haringey 001D
400,E01002036,Haringey 002A
401,E01002037,Haringey 002B
402,E01002039,Haringey 002C
403,E01002040,Haringey 002D
404,E01001962,Haringey 004A
405,E01001970,Haringey 004B
406,E01001972,Haringey 004C
407,E01001973,Haringey 004D
408,E01002090,Haringey 005A
409,E01002093,Haringey 005B
410,E01002096,Haringey 005C
411,E01002097,Haringey 005D
412,E01002091,Haringey 006A
413,E01002092,Haringey 006B
414,E01002094,Haringey 006C
415,E01002095,Haringey 006D
416,E01002098,Haringey 007A
417,E01002101,Haringey 007B
418,E01002102,Haringey 007C
419,E01002105,Haringey 007D
420,E01002099,Haringey 008A
421,E01002100,Haringey 008B
422,E01002103,Haringey 008C
423,E01002104,Haringey 008D
424,E01001963,Haringey 009A
425,E01001964,Haringey 009B
426,E01001965,Haringey 009C
427,E01001966,Haringey 009D
428,E01002027,Haringey 010A
429,E01002028,Haringey 010B
430,E01002032,Haringey 010C
431,E01002033,Haringey 010D
432,E01001976,Haringey 011A
433,E01001977,Haringey 011B
434,E01001978,Haringey 011C
435,E01001979,Haringey 011D
436,E01002074,Haringey 012A
437,E01002077,Haringey 012B
438,E01002079,Haringey 012C
439,E01002081,Haringey 012D
440,E01002082,Haringey 013A
441,E01002086,Haringey 013B
442,E01002088,Haringey 013C
443,E01002089,Haringey 013D
444,E01001967,Haringey 014A
445,E01001968,Haringey 014B
446,E01001996,Haringey 014C
447,E01001997,Haringey 014D
448,E01002075,Haringey 015A
449,E01002076,Haringey 015B
450,E01002078,Haringey 015C
451,E01002080,Haringey 015D
452,E01002026,Haringey 016A
453,E01002029,Haringey 016B
454,E01002030,Haringey 016C
455,E01002031,Haringey 016D
456,E01001991,Haringey 017A
457,E01001992,Haringey 017B
458,E01001993,Haringey 017C
459,E01001995,Haringey 017D
460,E01001980,Haringey 018A
461,E01001981,Haringey 018B
462,E01001982,Haringey 018C
463,E01001983,Haringey 018D
464,E01002083,Haringey 019A
465,E01002084,Haringey 019B
466,E01002085,Haringey 019C
467,E01002087,Haringey 019D
468,E01002014,Haringey 020B
469,E01002015,Haringey 020C
470,E01002018,Haringey 020D
471,E01033085,Haringey 020E
472,E01033086,Haringey 020F
473,E01002020,Haringey 021A
474,E01002022,Haringey 021B
475,E01002023,Haringey 021C
476,E01002025,Haringey 021D
477,E01002013,Haringey 022A
478,E01002019,Haringey 022B
479,E01002021,Haringey 022C
480,E01002024,Haringey 022D
481,E01001998,Haringey 023A
482,E01001999,Haringey 023B
483,E01002003,Haringey 023C
484,E01002004,Haringey 023D
485,E01002067,Haringey 024A
486,E01002069,Haringey 024B
487,E01002070,Haringey 024C
488,E01002073,Haringey 024D
489,E01002066,Haringey 025A
490,E01002068,Haringey 025B
491,E01002071,Haringey 025C
492,E01002072,Haringey 025D
493,E01002043,Haringey 026A
494,E01002045,Haringey 026B
495,E01002046,Haringey 026C
496,E01002049,Haringey 026D
497,E01002042,Haringey 027A
498,E01002044,Haringey 027B
499,E01002047,Haringey 027C
500,E01002048,Haringey 027D
501,E01002016,Haringey 028A
502,E01002017,Haringey 028B
503,E01002059,Haringey 028C
504,E01002060,Haringey 028D
505,E01002050,Haringey 029A
506,E01002051,Haringey 029B
507,E01002052,Haringey 029C
508,E01002055,Haringey 029D
509,E01001994,Haringey 030A
510,E01002008,Haringey 030B
511,E01002010,Haringey 030C
512,E01002011,Haringey 030D
513,E01002000,Haringey 031A
514,E01002001,Haringey 031B
515,E01002002,Haringey 031C
516,E01002058,Haringey 031D
517,E01002053,Haringey 032A
518,E01002054,Haringey 032B
519,E01002056,Haringey 032C
520,E01002057,Haringey 032D
521,E01001984,Haringey 033A
522,E01001985,Haringey 033B
523,E01001987,Haringey 033C
524,E01001989,Haringey 033D
525,E01001986,Haringey 034A
526,E01001988,Haringey 034B
527,E01001990,Haringey 034C
528,E01002062,Haringey 034D
529,E01002005,Haringey 035A
530,E01002006,Haringey 035B
531,E01002007,Haringey 035C
532,E01002009,Haringey 035D
533,E01002061,Haringey 036A
534,E01002063,Haringey 036B
535,E01002064,Haringey 036C
536,E01002065,Haringey 036D
537,E01002034,Haringey 037A
538,E01002038,Haringey 037B
539,E01002041,Haringey 037C
540,E01032575,Haringey 037D
541,E01002755,Islington 001A
542,E01002756,Islington 001B
543,E01002758,Islington 001C
544,E01002804,Islington 001D
545,E01002807,Islington 001E
546,E01002811,Islington 001F
547,E01002753,Islington 002A
548,E01002754,Islington 002B
549,E01002757,Islington 002C
550,E01002759,Islington 002D
551,E01002760,Islington 002E
552,E01002772,Islington 002F
553,E01002735,Islington 003A
554,E01002805,Islington 003B
555,E01002806,Islington 003C
556,E01002808,Islington 003D
557,E01002809,Islington 003E
558,E01002810,Islington 003F
559,E01002768,Islington 004A
560,E01002770,Islington 004B
561,E01002771,Islington 004C
562,E01002773,Islington 004D
563,E01002774,Islington 004E
564,E01002732,Islington 005A
565,E01002734,Islington 005B
566,E01002736,Islington 005C
567,E01002737,Islington 005D
568,E01002751,Islington 005E
569,E01002742,Islington 006A
570,E01002747,Islington 006B
571,E01002748,Islington 006C
572,E01002749,Islington 006D
573,E01033493,Islington 006F
574,E01033494,Islington 006G
575,E01002730,Islington 007A
576,E01002731,Islington 007B
577,E01002733,Islington 007C
578,E01002763,Islington 007D
579,E01002769,Islington 008A
580,E01002785,Islington 008B
581,E01002788,Islington 008C
582,E01002789,Islington 008D
583,E01002738,Islington 009A
584,E01002741,Islington 009B
585,E01002743,Islington 009C
586,E01002744,Islington 009D
587,E01002752,Islington 009E
588,E01002764,Islington 010A
589,E01002783,Islington 010B
590,E01002784,Islington 010C
591,E01002786,Islington 010D
592,E01002787,Islington 010E
593,E01002762,Islington 011C
594,E01002767,Islington 011D
595,E01033486,Islington 011E
596,E01033487,Islington 011F
597,E01033488,Islington 011G
598,E01033491,Islington 011H
599,E01033492,Islington 011I
600,E01002777,Islington 012A
601,E01002778,Islington 012B
602,E01002779,Islington 012C
603,E01002781,Islington 012D
604,E01002782,Islington 012E
605,E01002739,Islington 013A
606,E01002740,Islington 013B
607,E01002745,Islington 013C
608,E01002795,Islington 013D
609,E01002796,Islington 013E
610,E01002716,Islington 014A
611,E01002718,Islington 014B
612,E01002721,Islington 014C
613,E01002775,Islington 014D
614,E01002776,Islington 014E
615,E01002780,Islington 014F
616,E01002708,Islington 015A
617,E01002712,Islington 015B
618,E01002713,Islington 015C
619,E01002765,Islington 015D
620,E01002766,Islington 015E
621,E01002717,Islington 016A
622,E01002719,Islington 016B
623,E01002720,Islington 016C
624,E01002790,Islington 016D
625,E01002791,Islington 016E
626,E01002793,Islington 016F
627,E01002698,Islington 017A
628,E01002699,Islington 017B
629,E01002700,Islington 017C
630,E01002714,Islington 017D
631,E01002792,Islington 017E
632,E01002722,Islington 018A
633,E01002797,Islington 018B
634,E01002798,Islington 018C
635,E01002799,Islington 018D
636,E01002800,Islington 018E
637,E01002694,Islington 019A
638,E01002697,Islington 019B
639,E01002709,Islington 019C
640,E01002710,Islington 019D
641,E01002715,Islington 019E
642,E01002696,Islington 020A
643,E01002794,Islington 020B
644,E01002801,Islington 020C
645,E01002802,Islington 020D
646,E01002803,Islington 020E
647,E01002695,Islington 021A
648,E01002711,Islington 021B
649,E01002727,Islington 021C
650,E01002728,Islington 021D
651,E01002729,Islington 021E
652,E01002707,Islington 022B
653,E01002723,Islington 022C
654,E01002724,Islington 022D
655,E01002725,Islington 022E
656,E01002726,Islington 022F
657,E01033489,Islington 022G
658,E01033490,Islington 022H
659,E01002701,Islington 023A
660,E01002702,Islington 023B
661,E01002703,Islington 023C
662,E01002704,Islington 023D
663,E01002706,Islington 023E
664,E01002852,Kensington and Chelsea 001A
665,E01002853,Kensington and Chelsea 001B
666,E01002854,Kensington and Chelsea 001C
667,E01002855,Kensington and Chelsea 001D
668,E01002857,Kensington and Chelsea 001E
669,E01002904,Kensington and Chelsea 002A
670,E01002905,Kensington and Chelsea 002B
671,E01002906,Kensington and Chelsea 002C
672,E01002907,Kensington and Chelsea 002D
673,E01002876,Kensington and Chelsea 003A
674,E01002877,Kensington and Chelsea 003B
675,E01002878,Kensington and Chelsea 003C
676,E01002908,Kensington and Chelsea 003D
677,E01002909,Kensington and Chelsea 003E
678,E01002829,Kensington and Chelsea 004A
679,E01002830,Kensington and Chelsea 004B
